"Cleanup ID",Zone,State,Country,GPS,"Cleanup Type","Cleanup Date","Group Name",Adults,Children,People,Pounds,Miles,"# of bags","Cigarette Butts","Food Wrappers (candy, chips, etc.)","Take Out/Away Containers (Plastic)","Take Out/Away Containers (Foam)","Bottle Caps (Plastic)","Bottle Caps (Metal)","Lids (Plastic)","Straws, Stirrers","Forks, Knives, Spoons","Beverage Bottles (Plastic)","Beverage Bottles (Glass)","Beverage Cans","Grocery Bags (Plastic)","Other Plastic Bags","Paper Bags","Cups, Plates (Paper)","Cups, Plates (Plastic)","Cups, Plates (Foam)","Fishing Buoys, Pots & Traps","Fishing Net & Pieces","Fishing Line (1 yard/meter = 1 piece)","Rope (1 yard/meter = 1 piece)","Fishing Gear (Clean Swell)","6-Pack Holders","Other Plastic/Foam Packaging","Other Plastic Bottles (oil, bleach, etc.)","Strapping Bands","Tobacco Packaging/Wrap","Other Packaging (Clean Swell)","Appliances (refrigerators, washers, etc.)",Balloons,"Cigar Tips","Cigarette Lighters","Construction Materials",Fireworks,Tires,Toys,"Other Trash (Clean Swell)",Condoms,Diapers,Syringes,"Tampons/Tampon Applicators","Personal Hygiene (Clean Swell)","Foam Pieces","Glass Pieces","Plastic Pieces","Total Items Collected"
81457,"Orange County, CA, USA","California, USA","United States","33.8101, -118.03036","Land (beach, shoreline and inland)",2019-09-21,,1,0,1,4.65,0,0,3,15,12,0,15,0,0,5,3,4,0,0,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,0,0,0,0,0,0,0,7,98
81459,"Ventura County, CA, USA","California, USA","United States","34.26583, -118.76121","Land (beach, shoreline and inland)",2019-09-21,,1,0,1,2.74,3.8935,0,25,0,1,1,3,0,2,4,0,12,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,12,0,0,0,0,2,0,0,7,75
81461,"Ventura County, CA, USA","California, USA","United States","34.26603, -118.7615","Land (beach, shoreline and inland)",2019-09-21,"California Coastal Cleanup",5,0,5,4.16,0.2644,0,9,4,1,2,3,0,0,5,2,5,2,0,7,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,6,59
81462,"Los Angeles County, CA, USA","California, USA","United States","33.96572, -118.45633","Land (beach, shoreline and inland)",2019-09-21,"Coastal cleanup day pledge!",2,0,2,3.74,0.6984,0,36,21,0,0,5,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,10,0,0,0,0,4,0,0,89,171
81463,"San Francisco County, CA, USA","California, USA","United States","37.72273, -122.39295","Land (beach, shoreline and inland)",2019-09-21,"East San Francisco Seven Stills",1,0,1,16.97,0.0547,0,22,7,7,4,15,0,6,0,3,2,3,6,9,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,1,101,0,0,0,0,2,0,0,36,237
81464,"Santa Cruz County, CA, USA","California, USA","United States","36.97139, -121.91157","Land (beach, shoreline and inland)",2019-09-21,"The GlubPaks",4,0,4,4.15,0.0006,0,15,3,0,0,12,0,0,0,1,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,30,87
81466,"Los Angeles County, CA, USA","California, USA","United States","33.89545, -118.41558","Land (beach, shoreline and inland)",2019-09-21,,1,0,1,2.75,0.3035,0,4,4,3,1,0,0,0,0,0,2,1,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,2,30
81467,"Los Angeles County, CA, USA","California, USA","United States","33.89406, -118.41672","Land (beach, shoreline and inland)",2019-09-21,,2,0,2,2.57,0.3318,0,2,3,1,0,0,0,0,1,1,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,3,24
81468,"Santa Cruz County, CA, USA","California, USA","United States","36.97141, -121.9116","Land (beach, shoreline and inland)",2019-09-21,"The Harker School",5,0,5,8.96,2.6372,0,12,9,0,0,7,0,1,8,1,0,5,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,47,0,0,0,0,0,0,0,23,124
81469,"Humboldt County, CA, USA","California, USA","United States","40.79581, -124.20812","Land (beach, shoreline and inland)",2019-09-21,"Samoa beach",1,0,1,15.01,0.3192,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,0,0,0,0,0,0,0,0,126
